800,1.8,0.16,1.66,0.84
850,1.76,0.19,1.65,0.88
900,1.72,0.21,1.64,0.91
1170,1.7,0.33,1.56,1.14
1200,1.72,0.34,1.55,1.16
1400,1.81,0.44,1.47,1.29
1600,1.76,0.55,1.4,1.4
1800,1.71,0.65,1.31,1.52
2000,1.73,0.75,1.23,1.58
2400,1.69,0.93,1.06,1.58
2570,1.73,0.97,0.97,1.63
2800,1.73,1.08,0.9,1.61
3000,1.72,1.14,0.83,1.58
3200,1.74,1.203,0.77,1.56
3400,1.71,1.25,0.71,1.53
3800,1.74,1.34,0.61,1.47
4200,1.73,1.4,0.53,1.39
4800,1.77,1.43,0.42,1.3
5100,1.74,1.51,0.39,1.23
5200,1.74,1.52,0.37,1.21
5400,1.75,1.53,0.35,1.18
5600,1.76,1.54,0.33,1.17
5700,1.75,1.55,0.32,1.15
5800,1.76,1.56,0.31,1.13
6000,1.77,1.57,0.29,1.08
6500,1.75,1.6,0.25,1.04
7000,1.78,1.62,0.22,0.96
7500,1.77,1.64,0.19,0.92
8000,1.77,1.65,0.17,0.87
